CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
93668,"$50,000 under $75,000",44,33,35,142,62,2683,38,2152,**,**,**,**,**,**,**,**,0,33,283,**,**,**,**,20,102,36,429,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,44,1528,31,66,0,0,40,76,0,0,**,**,0,0,0,0,0,0,40,135,40,148,**,**,34,132
93668,"$75,000 under $100,000",49,42,42,143,51,7462,36,2874,37,259,23,104,21,81,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,36,1100,32,521,**,**,34,97,36,647,23,244,32,88,49,5696,26,61,0,0,**,**,0,0,**,**,0,0,0,0,0,0,48,1159,48,1340,24,849,25,128
93668,"$100,000 under $200,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**
93668,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93669,,110,63,69,249,82,"4,844",78,"2,976",53,91,26,166,22,106,31,239,0,21,15,0,0,37,883,0,0,23,255,0,0,41,884,31,124,0,0,35,89,41,255,32,375,33,94,78,"2,683",29,29,0,0,0,0,0,0,0,0,23,61,0,0,0,0,68,347,79,396,24,53,76,226
93669,"$1 under $25,000",65,26,39,139,54,1277,42,742,22,21,26,166,22,106,31,239,0,21,15,0,0,**,**,0,0,23,255,0,0,**,**,**,**,0,0,**,**,**,**,**,**,**,**,33,414,29,29,0,0,0,0,0,0,0,0,23,61,0,0,0,0,25,36,36,50,24,53,47,133
93669,"$25,000 under $50,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,**,**,0,0,0,0,**,**,**,**,**,**,**,**
93669,"$50,000 under $75,000",45,37,30,110,28,3567,36,2234,31,70,**,**,**,**,**,**,0,**,**,0,0,37,883,0,0,**,**,0,0,41,884,31,124,0,0,35,89,41,255,32,375,33,94,45,2269,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,311,43,346,**,**,29,93
93669,"$75,000 under $100,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
93669,"$100,000 under $200,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
93669,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93675,,"1,341",743,706,"3,010",921,"60,733","1,008","42,476",610,679,179,516,151,254,243,"2,545",46,152,"1,094",125,"1,718",351,"7,320",258,"2,221",224,"2,010",0,0,506,"10,058",347,"1,422",140,209,471,937,505,"2,820",443,"4,420",399,838,979,"35,172",339,391,39,39,209,261,22,13,181,227,250,549,220,479,0,0,878,"4,772",981,"5,241",278,784,981,"2,601"
93675,"$1 under $25,000",519,175,256,982,295,6520,330,3740,144,143,41,68,36,42,95,511,20,38,-22,39,340,109,1204,91,585,30,36,0,0,61,939,**,**,45,53,54,112,60,182,49,421,41,59,184,1011,37,12,**,**,**,**,0,0,107,123,185,425,163,374,0,0,161,97,230,202,71,41,376,819
93675,"$25,000 under $50,000",340,183,180,773,246,12427,261,7908,152,174,45,150,34,51,66,660,**,41,75,32,289,88,1927,86,843,86,505,0,0,118,1953,70,128,72,90,106,186,118,432,100,895,96,132,314,5728,112,102,**,**,87,68,22,13,74,104,65,124,57,105,0,0,255,579,283,679,73,86,260,680
93675,"$50,000 under $75,000",226,162,120,548,159,13942,184,9784,137,174,38,52,50,40,36,489,26,38,202,25,218,81,2062,42,384,62,759,0,0,122,2216,100,282,**,**,116,204,122,562,109,1017,94,201,226,8625,80,121,39,39,59,96,**,**,**,**,0,0,0,0,0,0,211,1056,215,1138,57,150,167,427
93675,"$75,000 under $100,000",135,114,78,370,117,11520,123,9430,87,26,21,34,**,**,46,885,**,**,**,29,871,35,966,39,409,25,377,0,0,101,2069,86,334,23,66,95,178,101,604,94,962,80,206,135,7730,61,96,**,**,63,97,**,**,**,**,0,0,0,0,0,0,131,990,133,1056,35,106,100,351
93675,"$100,000 under $200,000",121,109,72,337,104,16324,110,11614,90,162,34,212,31,121,**,**,**,35,839,**,**,38,1161,**,**,21,333,0,0,104,2881,91,678,**,**,100,257,104,1040,91,1125,88,240,120,12078,49,60,**,**,**,**,**,**,0,0,0,0,0,0,0,0,120,2050,120,2166,42,401,78,324
93675,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93701,,"3,301",686,"2,248","9,439","4,123","63,901","2,926","52,872",235,244,36,139,29,53,463,"5,079",0,33,15,29,237,110,"1,444",529,"3,219",38,308,0,0,161,"2,802",107,402,50,55,134,207,161,707,125,"1,050",117,394,"1,252","17,283",740,555,0,0,559,403,56,29,"1,939","2,592","1,655","4,714","1,586","4,231",0,0,719,"1,884","1,090","2,580",181,322,"3,066","9,604"
93701,"$1 under $25,000",2585,373,1764,7105,3087,33626,2239,27556,105,25,**,**,29,53,393,3363,0,**,**,29,237,62,510,392,2153,**,**,0,0,29,346,**,**,**,**,**,**,29,59,20,168,**,**,608,2926,306,101,0,0,223,72,**,**,1629,2049,1417,4208,1369,3776,0,0,329,207,673,689,98,51,2435,7387
93701,"$25,000 under $50,000",584,223,398,1923,861,19335,565,17464,71,13,36,139,**,**,43,503,0,33,15,**,**,22,297,117,916,38,308,0,0,65,956,49,80,50,55,71,87,65,168,50,430,59,106,514,7056,362,316,0,0,284,239,56,29,310,543,238,506,217,455,0,0,272,516,298,596,49,76,534,1825
93701,"$50,000 under $75,000",89,56,55,288,129,5285,84,4506,36,52,**,**,**,**,27,1213,0,**,**,**,**,26,637,20,150,**,**,0,0,37,695,31,72,**,**,34,39,37,133,29,246,31,113,87,3050,50,83,0,0,52,92,**,**,**,**,0,0,0,0,0,0,76,331,77,361,34,195,68,204
93701,"$75,000 under $100,000",43,34,31,123,46,5655,38,3346,23,154,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,30,805,27,250,**,**,29,81,30,347,26,206,27,175,43,4251,22,55,0,0,**,**,**,**,**,**,0,0,0,0,0,0,42,830,42,934,**,**,29,188
93701,"$100,000 under $200,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**
93701,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93702,,"15,060","3,898","9,846","41,801","18,571","339,680","13,486","277,274","1,663","1,578",264,525,204,357,"1,859","17,725",28,202,542,239,"1,973",919,"14,318","3,036","19,629",379,"3,136",0,0,"1,114","19,704",688,"2,507",351,424,929,"1,337","1,113","4,780",892,"7,771",804,"1,785","7,459","109,781","4,353","3,640",99,67,"3,299","2,710",343,203,"7,852","10,720","7,226","20,139","6,822","18,356",24,104,"4,502","11,255","5,951","13,976","1,043","1,394","13,790","44,086"
93702,"$1 under $25,000",10481,1758,6940,26956,11628,141825,9175,114821,643,195,85,127,62,53,1441,11922,28,71,-18,88,357,397,2941,2032,11354,60,78,0,0,202,2566,56,29,116,88,153,188,201,374,148,1265,118,143,3209,15856,1557,545,**,**,1040,324,67,25,6009,7572,5553,16758,5334,15314,0,0,1850,1127,3100,2801,504,234,9757,29685
93702,"$25,000 under $50,000",3582,1488,2296,11605,5491,121682,3401,106174,601,189,76,109,57,62,295,2906,**,52,-28,72,469,293,4023,813,6680,185,892,0,0,438,6469,257,406,150,174,356,444,438,1226,363,2888,305,445,3256,45533,2225,2020,63,37,1787,1560,203,125,1734,2982,1673,3381,1488,3042,0,0,1770,3304,1952,3801,308,396,3267,11739
93702,"$50,000 under $75,000",722,449,431,2436,1154,43006,677,36493,258,58,44,23,35,13,73,767,**,32,14,58,850,125,2659,153,1256,70,921,0,0,278,4859,203,499,85,162,248,332,278,1083,240,2060,223,433,720,24846,448,846,36,30,391,675,73,53,109,166,0,0,0,0,**,**,615,2545,630,2752,143,311,579,1751
93702,"$75,000 under $100,000",175,130,111,545,216,14958,153,11051,89,119,28,68,22,58,50,2130,**,24,-8,**,**,54,1706,38,339,33,577,0,0,113,2568,102,402,**,**,99,179,113,656,88,847,90,331,174,9727,88,172,**,**,81,151,**,**,**,**,0,0,0,0,24,104,167,1239,169,1376,44,170,131,482
93702,"$100,000 under $200,000",100,73,68,259,82,18209,80,8735,72,1017,31,198,28,171,**,**,**,23,582,21,297,50,2989,**,**,31,668,0,0,83,3242,70,1171,**,**,73,194,83,1441,53,711,68,433,100,13819,35,57,**,**,**,**,**,**,0,0,0,0,0,0,**,**,100,3040,100,3246,44,283,56,429
93702,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93703,,"10,737","2,794","6,570","26,200","10,837","281,409","9,200","220,464","2,048","1,553",489,"1,355",406,867,"1,499","13,366",25,353,38,390,"2,889","1,153","19,769","1,995","13,843",594,"5,057",0,0,"1,451","23,422",976,"2,928",398,466,"1,255","1,753","1,439","5,659","1,188","9,456","1,058","2,237","6,251","117,906","3,137","2,690",138,100,"2,171","1,947",290,161,"4,254","5,604","4,947","13,050","4,602","11,743",28,86,"4,402","13,473","5,491","15,680","1,021","1,586","9,488","29,215"
93703,"$1 under $25,000",6627,984,4022,14910,6049,88042,5479,66505,683,481,161,301,129,162,1046,8327,25,141,-75,161,634,494,4330,1241,7717,99,163,0,0,219,2648,69,39,119,84,168,224,211,390,153,1076,127,165,2325,12217,1017,336,25,13,588,177,55,17,3140,3825,3802,10888,3614,9841,0,0,1473,962,2407,2232,403,228,6009,18269
93703,"$25,000 under $50,000",2874,1014,1756,7904,3525,100220,2643,84848,719,285,130,268,110,148,290,2268,**,89,-11,93,599,336,5848,524,4486,241,1334,0,0,578,7771,350,511,197,232,502,649,575,1590,489,3561,397,630,2692,43911,1550,1390,54,33,1160,1036,156,93,1043,1686,1145,2162,988,1902,0,0,1769,3909,1918,4352,332,400,2533,8086
93703,"$50,000 under $75,000",816,479,515,2232,871,49096,724,38756,375,325,94,214,79,124,113,788,**,55,82,74,729,189,4613,161,1205,147,1842,0,0,364,6144,289,732,61,106,325,448,363,1439,312,2595,286,640,815,30218,388,648,39,33,300,508,46,29,71,93,0,0,0,0,**,**,746,3542,750,3734,171,319,642,1821
93703,"$75,000 under $100,000",270,201,175,755,270,23039,225,16821,162,305,62,178,51,134,29,597,**,38,32,39,477,85,2865,49,332,64,969,0,0,170,3305,151,609,21,44,154,215,170,937,143,1371,147,355,270,15889,129,240,20,21,93,178,33,22,**,**,0,0,0,0,**,**,265,2105,267,2217,66,204,204,609
93703,"$100,000 under $200,000",150,116,102,399,122,21012,129,13534,109,157,42,394,37,299,21,1386,**,30,10,23,450,49,2113,20,103,43,749,0,0,120,3554,117,1037,**,**,106,217,120,1303,91,853,101,447,149,15671,53,76,**,**,30,48,**,**,0,0,0,0,0,0,28,86,149,2955,149,3145,49,435,100,430
93703,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93704,,"11,655","3,659","6,669","23,102","7,264","596,901","9,302","387,892","4,503","11,637","2,142","11,922","1,904","8,512","1,968","30,685",54,"1,728","10,420","1,013","12,856","2,285","59,075","1,632","12,616","1,478","17,374",100,"1,788","3,850","95,396","2,932","22,598",802,"1,043","3,397","9,012","3,842","34,020","2,961","32,030","3,207","10,891","8,766","377,161","3,563","3,434",310,336,"1,796","1,948",400,195,"2,062","2,566","2,776","6,139","2,455","5,401",265,"1,874","7,600","66,102","8,428","70,884","2,260","8,732","9,035","26,829"
93704,"$1 under $25,000",4914,650,2614,8524,2743,63793,3678,45096,932,1115,457,1049,395,574,862,6314,21,356,-312,244,1353,545,4563,818,5550,157,328,**,**,417,7059,92,141,283,245,327,654,413,1117,255,2237,267,439,2156,12928,698,255,**,**,271,95,36,12,1407,1627,2080,4940,1879,4364,0,0,1644,1115,2328,2247,565,388,4029,9373
93704,"$25,000 under $50,000",2990,794,1540,6091,2076,107746,2567,85051,918,1136,384,1301,333,745,371,3580,**,301,-224,208,1679,541,9608,446,3654,427,2669,**,**,737,11525,444,802,260,306,599,1076,733,2392,539,4352,551,1092,2877,56564,1262,1131,67,59,795,731,145,78,585,831,696,1199,576,1037,0,0,2312,5907,2429,6569,527,758,2437,6330
93704,"$50,000 under $75,000",1599,683,953,3312,978,98569,1303,71125,938,1144,394,1375,351,861,266,3451,**,295,365,204,2365,442,12306,185,1612,348,4617,39,429,869,16067,704,2260,146,236,760,1532,869,4286,671,6416,723,1616,1586,63821,634,876,74,91,357,555,77,36,70,108,0,0,0,0,**,**,1506,8430,1534,9114,421,856,1171,3266
93704,"$75,000 under $100,000",882,544,593,2004,565,75947,718,52758,627,1065,292,1336,253,908,164,2615,**,226,190,140,2177,290,10130,98,1000,219,3492,**,**,653,13911,576,2690,65,136,598,1389,653,4463,528,5588,566,1522,879,52336,376,525,53,48,210,349,61,30,**,**,0,0,0,0,**,**,871,7539,869,8000,260,813,617,2052
93704,"$100,000 under $200,000",1023,785,751,2497,678,135081,840,87054,856,1575,453,2859,422,1982,236,8683,33,383,1609,174,4055,393,19041,85,800,263,4875,38,790,929,26175,879,7012,48,120,878,2691,929,10265,773,9346,865,3422,1022,98729,481,577,116,138,163,218,81,39,**,**,0,0,0,0,69,168,1020,17118,1021,18510,360,2186,661,3079
93704,"$200,000 or more",247,203,218,674,224,115765,196,46808,232,5602,162,4002,150,3442,69,6042,**,167,8792,43,1227,74,3427,**,**,64,1393,23,569,245,20659,237,9693,**,**,235,1670,245,11497,195,4091,235,2800,246,92783,112,70,**,**,0,0,**,**,0,0,0,0,0,0,196,1706,247,25993,247,26444,127,3731,120,2729
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93705,,"13,160","3,572","7,496","30,048","11,637","397,338","10,950","300,895","3,236","2,385",985,"2,912",852,"1,666","1,848","16,630",0,730,554,742,"7,012","1,889","37,302","2,261","16,357","1,097","9,864",0,0,"2,479","42,661","1,761","5,982",608,757,"2,162","3,228","2,461","10,865","1,986","16,650","1,910","4,427","8,405","192,250","3,921","3,606",234,203,"2,463","2,418",387,199,"4,196","5,493","5,042","12,900","4,664","11,520",39,84,"6,487","23,717","7,767","26,618","1,694","2,823","11,161","32,235"
93705,"$1 under $25,000",7346,1032,4149,15550,6119,97010,5843,71358,927,596,318,633,264,285,1222,9844,0,230,-285,259,1351,630,5337,1326,8453,169,266,0,0,341,4434,100,69,202,207,271,362,328,712,238,1700,219,301,2782,15339,1147,420,30,14,581,192,78,24,3064,3656,3886,10737,3671,9624,**,**,1890,1213,2978,2694,568,331,6485,18433
93705,"$25,000 under $50,000",3586,1161,2017,8914,3676,126415,3191,102533,1047,535,220,517,190,257,343,3305,0,170,-123,201,1380,594,10046,628,5537,414,2367,0,0,846,12134,550,866,258,277,734,1035,841,2432,701,5431,608,1037,3403,59037,1774,1606,73,55,1243,1150,180,98,1051,1723,1156,2163,993,1896,0,0,2463,5597,2634,6259,529,731,3051,8942
93705,"$50,000 under $75,000",1377,750,796,3430,1204,84024,1182,64358,669,562,216,561,189,389,157,1305,0,143,61,129,1459,371,9978,214,1703,296,3655,0,0,659,11103,529,1479,103,168,584,852,659,2784,537,4569,535,1236,1373,53252,616,1004,73,71,439,743,69,39,81,114,0,0,0,0,**,**,1295,6549,1315,6867,324,647,1048,2729
93705,"$75,000 under $100,000",527,378,315,1340,409,45277,459,33778,344,276,127,491,112,280,68,787,0,102,-14,86,1177,166,5715,61,468,125,1969,0,0,362,7198,325,1356,45,105,319,482,362,2046,284,2627,306,824,525,31363,250,393,35,34,149,252,32,22,**,**,0,0,0,0,**,**,517,4322,518,4503,149,399,378,1145
93705,"$100,000 under $200,000",324,251,219,814,229,44612,275,28868,249,416,104,710,97,455,58,1389,0,85,915,67,1645,128,6226,32,196,93,1607,0,0,271,7792,257,2212,**,**,254,497,271,2891,226,2323,242,1029,322,33259,134,183,23,29,51,81,28,16,0,0,0,0,0,0,39,84,322,6036,322,6295,124,715,199,986
93705,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93706,,"12,815","3,577","8,274","34,601","14,533","353,560","11,231","262,373","1,967","2,868",543,"1,715",468,"1,142","1,586","13,818",349,393,"5,711",331,"4,579","1,087","19,998","2,298","15,056",654,"6,501",0,0,"1,453","32,202",939,"5,633",413,539,"1,202","2,256","1,438","9,037","1,093","11,183","1,102","4,141","6,601","148,119","3,443","3,083",107,187,"2,517","2,119",299,164,"6,069","8,507","5,590","15,439","5,239","13,961",71,351,"4,487","20,498","5,714","24,071","1,261","5,959","11,299","36,050"
93706,"$1 under $25,000",8359,1431,5327,21214,8804,111784,7219,89090,584,395,139,165,119,107,1139,9178,106,77,68,96,546,377,3247,1517,8875,88,135,0,0,234,3144,69,63,114,74,175,254,222,446,156,1268,146,277,2517,12447,1137,373,**,**,776,249,52,16,4658,5890,4366,12899,4184,11706,**,**,1524,945,2587,2438,468,291,7651,22773
93706,"$25,000 under $50,000",3077,1219,1982,9475,4256,105111,2828,88815,607,536,115,279,93,160,256,1904,73,92,262,90,708,340,5859,593,4742,267,1508,0,0,457,7257,241,369,186,261,377,568,455,1365,353,3080,321,846,2708,41364,1638,1464,35,40,1287,1116,164,99,1338,2510,1224,2540,1055,2255,**,**,1668,3451,1813,3993,367,509,2696,9155
93706,"$50,000 under $75,000",747,409,475,2102,850,44908,646,34377,326,479,85,268,73,237,94,623,50,68,227,59,693,182,4805,114,905,142,1819,0,0,308,5719,228,655,68,109,250,409,307,1303,236,2363,242,659,744,27197,365,595,37,36,284,459,50,30,73,107,0,0,0,0,**,**,677,3153,691,3408,181,474,566,1673
93706,"$75,000 under $100,000",319,255,230,976,373,27340,278,20158,191,276,66,102,58,60,49,540,31,50,609,37,559,99,2997,49,396,82,1374,0,0,198,4300,164,671,45,95,182,328,198,1191,160,1737,166,636,319,18172,175,361,35,111,122,222,33,19,**,**,0,0,0,0,**,**,308,2239,311,2426,96,324,223,815
93706,"$100,000 under $200,000",248,210,196,678,211,32166,209,20925,198,566,96,506,85,406,48,1573,61,69,954,49,2073,67,2335,25,138,55,1131,0,0,196,5962,181,1453,**,**,166,405,196,1981,151,2072,172,882,248,23138,103,161,**,**,48,73,**,**,0,0,0,0,0,0,32,64,245,3831,247,4362,109,1221,139,716
93706,"$200,000 or more",65,53,64,156,39,32251,51,9008,61,616,42,395,40,172,**,**,28,37,3591,**,**,22,755,**,**,20,534,0,0,60,5820,56,2422,**,**,52,292,60,2751,37,663,55,841,65,25801,25,129,**,**,0,0,0,0,0,0,0,0,0,0,39,287,65,6879,65,7444,40,3140,24,918
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93710,,"11,496","3,666","6,216","22,449","6,892","467,798","9,381","327,279","4,144","4,866","1,677","6,255","1,499","3,867","1,487","14,820",25,"1,197","5,819","1,007","11,164","2,347","62,199","1,558","12,300","1,543","17,375",41,545,"3,276","66,857","2,443","11,239",738,985,"2,812","5,548","3,265","18,955","2,494","22,919","2,717","9,055","8,520","274,487","3,555","3,584",318,354,"1,772","2,002",400,216,"1,948","2,444","2,656","5,960","2,383","5,274",94,509,"7,325","38,391","8,027","41,245","1,999","4,881","9,166","23,052"
93710,"$1 under $25,000",5248,640,2585,8537,2614,66523,4188,49055,881,679,334,620,287,280,681,4804,25,264,-221,239,1281,565,4922,771,5320,162,285,**,**,338,5491,75,129,230,182,254,456,332,848,197,1621,213,464,2395,13978,846,328,**,**,254,89,40,13,1337,1548,2024,4895,1858,4382,**,**,1817,1162,2386,1980,525,308,4418,9625
93710,"$25,000 under $50,000",2903,838,1523,5926,1919,104407,2483,81481,973,875,350,863,319,469,319,2798,**,234,-159,234,1864,558,10251,416,3748,474,2868,**,**,693,10828,419,689,242,289,558,969,688,2137,512,4105,549,1227,2796,54496,1224,1131,78,73,713,669,151,89,514,769,632,1065,525,892,0,0,2285,5657,2384,6227,485,582,2400,5884
93710,"$50,000 under $75,000",1608,845,968,3665,1141,98457,1290,69467,959,871,400,1183,352,746,231,2045,**,252,75,240,2215,542,15823,196,1656,398,5093,**,**,886,16366,702,1976,171,269,765,1435,886,3958,699,6187,735,2067,1593,61798,697,1026,88,88,430,686,90,50,97,127,0,0,0,0,**,**,1500,7745,1530,8270,408,789,1194,3169
93710,"$75,000 under $100,000",903,651,569,2204,639,77808,731,53376,663,760,273,882,244,499,131,1396,**,199,127,141,2234,346,13024,117,1123,249,4120,41,545,626,12867,557,2374,60,135,561,1077,626,3860,504,4874,548,1706,902,53825,423,634,75,80,236,386,60,33,**,**,0,0,0,0,**,**,891,7409,894,7677,261,674,641,2017
93710,"$100,000 under $200,000",757,630,507,1947,548,96907,634,65095,597,880,274,1592,253,950,125,3777,**,206,754,153,3570,305,16248,58,453,234,4378,**,**,658,17509,618,4581,35,110,607,1341,658,6359,527,5421,602,2885,757,71137,336,398,77,113,139,172,59,31,**,**,0,0,0,0,44,89,755,12066,756,12554,289,1227,468,1880
93710,"$200,000 or more",77,62,64,170,31,23696,55,8805,71,801,46,1115,44,923,**,**,**,42,5243,**,**,31,1931,**,**,26,631,**,**,75,3796,72,1490,**,**,67,270,75,1793,55,711,70,706,77,19253,29,67,**,**,0,0,**,**,0,0,0,0,0,0,50,420,77,4352,77,4537,31,1301,45,477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93711,,"17,323","7,367","10,851","33,317","8,997","1,581,040","13,234","852,124","9,494","52,362","5,349","46,962","4,901","35,086","3,145","86,090",192,"4,426","85,634","2,397","48,039","4,172","128,881","1,841","16,231","3,359","50,182",311,"6,330","8,263","301,120","6,442","81,949","1,615","2,480","7,456","30,784","8,247","118,890","6,190","78,588","7,180","42,116","14,395","1,111,940","5,992","7,830",641,"1,129","2,320","2,907",628,328,"1,457","1,740","2,181","4,226","1,798","3,504","1,215","10,464","13,110","235,926","14,039","249,762","4,421","33,705","12,260","52,720"
93711,"$1 under $25,000",5419,725,2923,7163,1613,67592,3782,45977,1636,1903,983,2169,873,1185,886,6512,33,789,-261,389,2552,747,6257,664,5148,283,564,**,**,687,11968,138,352,481,432,547,1504,676,2418,392,3629,489,783,2727,16747,841,310,**,**,190,70,43,11,815,942,1539,3193,1307,2678,**,**,2169,1495,2840,2631,827,542,4032,7489
93711,"$25,000 under $50,000",3729,991,2067,6731,1881,136061,2980,98602,1504,2443,709,2527,639,1560,528,6708,**,565,173,399,4107,752,13222,522,4680,701,5054,**,**,1133,20242,625,1245,446,517,938,2365,1130,4459,803,7509,859,1893,3558,72849,1432,1300,78,59,721,714,173,94,513,645,642,1033,491,826,**,**,3004,7784,3189,9002,757,1256,2928,7122
93711,"$50,000 under $75,000",2417,1127,1526,4995,1410,149914,1848,99764,1538,2881,754,3054,681,2025,385,7043,20,581,763,376,5181,723,20275,257,2513,616,8742,43,293,1394,28462,1033,3273,339,586,1227,3591,1392,7938,1057,10568,1200,3303,2379,94674,984,1297,112,130,550,839,115,59,108,135,0,0,0,0,27,80,2249,12357,2300,13679,699,1807,1703,4893
93711,"$75,000 under $100,000",1780,1178,1244,4157,1175,153959,1364,97112,1316,2805,675,3686,626,2335,362,6741,25,534,-93,390,6852,623,23085,169,1472,554,9575,27,288,1317,31135,1132,5118,159,323,1183,3578,1317,9577,1023,11554,1148,3755,1767,102865,854,1214,110,130,441,745,102,49,21,18,0,0,0,0,**,**,1739,14292,1750,15533,547,1884,1227,4542
93711,"$100,000 under $200,000",2716,2232,1985,6982,2008,373071,2221,234482,2311,7972,1327,7888,1227,5115,629,21557,39,1118,3512,581,16099,959,45267,201,2137,820,16364,101,1791,2477,77740,2310,19812,144,451,2346,9053,2477,30570,2006,26197,2301,10305,2704,267867,1298,1742,241,449,418,539,160,93,**,**,0,0,0,0,211,603,2689,46518,2700,50216,1002,6040,1705,8739
93711,"$200,000 or more",1262,1114,1106,3289,910,700443,1039,276187,1189,34358,901,27638,855,22866,355,37529,75,839,81540,262,13248,368,20775,28,281,385,9883,140,3958,1255,131573,1204,52149,46,171,1215,10693,1255,63928,909,19131,1183,22077,1260,556938,583,1967,100,361,0,0,35,22,0,0,0,0,0,0,977,9781,1260,153480,1260,158701,589,22176,665,19935
